source_name	source_type	target_name	target_type	source_id	target_id	pmid	relation_type	resource
ABCB1	Gene	Breast Cancer	Disease	ENTREZ:5243	MONDO:0004989	32042261	GNBR::Y::Gene:Disease	CBCG
ABHD8	Gene	Breast Cancer	Disease	ENTREZ:79575	MONDO:0004989	27601076	GNBR::Y::Gene:Disease	CBCG
ABHD8	Gene	Breast Cancer	Disease	ENTREZ:79575	MONDO:0004989	27601076	GNBR::Y::Gene:Disease	CBCG
ABRAXAS1	Gene	Breast Cancer	Disease	ENTREZ:84142	MONDO:0004989	36703164	GNBR::Y::Gene:Disease	CBCG
ABRAXAS1	Gene	Breast Cancer	Disease	ENTREZ:84142	MONDO:0004989	27792995	GNBR::Y::Gene:Disease	CBCG
ABRAXAS1	Gene	Breast Cancer	Disease	ENTREZ:84142	MONDO:0004989	22357538	GNBR::Y::Gene:Disease	CBCG
ACE	Gene	Breast Cancer	Disease	ENTREZ:1636	MONDO:0004989	29413755	GNBR::Y::Gene:Disease	CBCG
ACE	Gene	Breast Cancer	Disease	ENTREZ:1636	MONDO:0004989	14583500	GNBR::Y::Gene:Disease	CBCG
ACE	Gene	Breast Cancer	Disease	ENTREZ:1636	MONDO:0004989	19286759	GNBR::Y::Gene:Disease	CBCG
ACOXL-AS1	Gene	Breast Cancer	Disease	ENTREZ:400997	MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
ACOXL	Gene	Breast Cancer	Disease	ENTREZ:55289	MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
ACTA2	Gene	Breast Cancer	Disease	ENTREZ:59	MONDO:0004989	23326385	GNBR::Y::Gene:Disease	CBCG
ACTA2	Gene	Breast Cancer	Disease	ENTREZ:59	MONDO:0004989	22740964	GNBR::Y::Gene:Disease	CBCG
ACYP2	Gene	Breast Cancer	Disease	ENTREZ:98	MONDO:0004989	27894080	GNBR::Y::Gene:Disease	CBCG
ACYP2	Gene	Breast Cancer	Disease	ENTREZ:98	MONDO:0004989	27458158	GNBR::Y::Gene:Disease	CBCG
ADSS1	Gene	Breast Cancer	Disease	ENTREZ:122622	MONDO:0004989	29059683	GNBR::Y::Gene:Disease	CBCG
AFDN	Gene	Breast Cancer	Disease	ENTREZ:4301	MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
AGTR1	Gene	Breast Cancer	Disease	ENTREZ:185	MONDO:0004989	29413755	GNBR::Y::Gene:Disease	CBCG
AHR	Gene	Breast Cancer	Disease	ENTREZ:196	MONDO:0004989	19415745	GNBR::Y::Gene:Disease	CBCG
AHRR	Gene	Breast Cancer	Disease	ENTREZ:57491	MONDO:0004989	29059683	GNBR::Y::Gene:Disease	CBCG
AHRR	Gene	Breast Cancer	Disease	ENTREZ:57491	MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
AKAP6	Gene	Breast Cancer	Disease	ENTREZ:9472	MONDO:0004989	21908515	GNBR::Y::Gene:Disease	CBCG
AKAP9	Gene	Breast Cancer	Disease	ENTREZ:10142	MONDO:0004989	18334708	GNBR::Y::Gene:Disease	CBCG
AKAP9	Gene	Breast Cancer	Disease	ENTREZ:10142	MONDO:0004989	18334708	GNBR::Y::Gene:Disease	CBCG
AKAP9	Gene	Breast Cancer	Disease	ENTREZ:10142	MONDO:0004989	24943594	GNBR::Y::Gene:Disease	CBCG
AKAP9	Gene	Breast Cancer	Disease	ENTREZ:10142	MONDO:0004989	36424660	GNBR::Y::Gene:Disease	CBCG
