relation_type	raw_description	formatted_relation_type	description	prompt_template	resource	abbr	source_type	target_type	annotation
PrimeKG::parent-child::Anatomy:Anatomy	Parent-child relationship between anatomies	BioMedGPS::ParentChild::Anatomy:Anatomy	"A hierarchical relationship between two anatomical structures, where one is considered a parent (broader) and the other a child (more specific)."	"Is there a hierarchical relationship between the #Anatomy1# and #Anatomy2#, where #Anatomy1# is broader and #Anatomy2# is more specific?"	PrimeKG	parent-child	Anatomy	Anatomy	
Hetionet::AdG::Anatomy:Gene	Anatomy downregulates the gene	BioMedGPS::E-::Anatomy:Gene	"The gene is not significantly expressed in a specific anatomical structure (E-), meaning the gene has low activity or does not exhibit noticeable functional characteristics in that structure."	"Is the #Gene# not significantly expressed in the #Anatomy#, suggesting low activity or no noticeable functional characteristics?"	Hetionet	AdG	Anatomy	Gene	Anatomy–downregulates–Gene
Hetionet::AeG::Anatomy:Gene	Anatomy expresses the gene	BioMedGPS::E::Anatomy:Gene	"The gene has a general level of expression in a specific anatomical structure (E), meaning the gene exhibits regular activity in that structure, neither particularly high nor low."	"Does the #Gene# exhibit a general level of expression in the #Anatomy#, showing regular activity that is neither high nor low?"	Hetionet	AeG	Anatomy	Gene	Anatomy–expresses–Gene
Hetionet::AuG::Anatomy:Gene	Anatomy upregulates the gene	BioMedGPS::E+::Anatomy:Gene	"The gene is significantly expressed in a specific anatomical structure (E+), meaning the gene is highly active or shows notable functional characteristics in that structure."	"Is the #Gene# significantly expressed in the #Anatomy#, indicating high activity or notable functional characteristics?"	Hetionet	AuG	Anatomy	Gene	Anatomy–upregulates–Gene
PrimeKG::expression_absent::Anatomy:Gene	Anatomy lacks expression of a gene	BioMedGPS::NE::Anatomy:Gene	"The gene is not expressed in a specific anatomical structure (NE), meaning the gene is inactive or no activity has been detected in that structure."	"Is the #Gene# not expressed in the #Anatomy#, indicating inactivity or undetectable activity?"	PrimeKG	expression_absent	Anatomy	Gene	
PrimeKG::expression_present::Anatomy:Gene	Anatomy expresses a gene	BioMedGPS::E::Anatomy:Gene	"The gene has a general level of expression in a specific anatomical structure (E), meaning the gene exhibits regular activity in that structure, neither particularly high nor low."	"Does the #Gene# exhibit a general level of expression in the #Anatomy#, showing regular activity that is neither high nor low?"	PrimeKG	expression_present	Anatomy	Gene	
PrimeKG::parent-child::BiologicalProcess:BiologicalProcess	Parent-child relationship between biological processes	BioMedGPS::ParentChild::BiologicalProcess:BiologicalProcess	"A hierarchical relationship between two biological processes, where one is considered a parent process and the other a child process."	"Is there a hierarchical relationship between the #BiologicalProcess1# and #BiologicalProcess2#, where #BiologicalProcess1# is broader and #BiologicalProcess2# is more specific?"	PrimeKG	parent-child	BiologicalProcess	BiologicalProcess	
PrimeKG::interacts_with::BiologicalProcess:Gene	Biological process interacts with a gene	BioMedGPS::Interaction::Gene:BiologicalProcess	"An interaction between a gene and a biological process, suggesting that the gene plays a role in regulating or affecting that process."	"Is there an interaction between #Gene# and #BiologicalProcess#, suggesting a role in regulating or affecting the process?"	PrimeKG	interacts_with	BiologicalProcess	Gene	
PrimeKG::parent-child::CellularComponent:CellularComponent	Parent-child relationship between cellular components	BioMedGPS::ParentChild::CellularComponent:CellularComponent	"A hierarchical relationship between two cellular components, where one is considered a parent component and the other a child component."	"Is there a hierarchical relationship between the #CellularComponent1# and #CellularComponent2#, where #CellularComponent1# is broader and #CellularComponent2# is more specific?"	PrimeKG	parent-child	CellularComponent	CellularComponent	
PrimeKG::interacts_with::CellularComponent:Gene	Cellular component interacts with a gene	BioMedGPS::Interaction::Gene:CellularComponent	"An interaction between a gene and a cellular component, affecting the function or structure of that component."	"Is there an interaction between #Gene# and #CellularComponent#, affecting the function or structure of the component?"	PrimeKG	interacts_with	CellularComponent	Gene	
DRUGBANK::x-atc::Compound:Atc	Compound classified according to the Anatomical Therapeutic Chemical (ATC) classification system	BioMedGPS::AtcClassification::Compound:Atc	The classification of a compound according to the Anatomical Therapeutic Chemical (ATC) classification system.	How is the #Compound# classified according to the Anatomical Therapeutic Chemical (ATC) classification system?	DRUGBANK	x-atc	Compound	Atc	
DRUGBANK::ddi-interactor-in::Compound:Compound	Compound that interacts with another compound in terms of drug-drug interactions	BioMedGPS::Interaction::Compound:Compound	"An interaction between two compounds, implying that they have some form of biochemical or pharmacological relationship."	"Is there an interaction between the #Compound1# and #Compound2#, suggesting a biochemical or pharmacological relationship?"	DRUGBANK	ddi-interactor-in	Compound	Compound	
Hetionet::CrC::Compound:Compound	The compound resembles another compound	BioMedGPS::SimilarWith::Compound:Compound	"Two compounds have a similarity, which could be structural, functional, or based on some other characteristic."	"Do the #Compound1# and #Compound2# share a similarity, whether structural, functional, or based on another characteristic?"	Hetionet	CrC	Compound	Compound	Compound–resembles–Compound
PrimeKG::synergistic_interaction::Compound:Compound	Synergistic interaction between compounds	BioMedGPS::Interaction::Compound:Compound	"An interaction between two compounds, implying that they have some form of biochemical or pharmacological relationship."	"Is there an interaction between the #Compound1# and #Compound2#, suggesting a biochemical or pharmacological relationship?"	PrimeKG	synergistic_interaction	Compound	Compound	
DRUGBANK::treats::Compound:Disease	Compound used to treat the specified disease	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	DRUGBANK	treats	Compound	Disease	
GNBR::C::Compound:Disease	Inhibition of cell growth (especially in cancers) by a compound	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	GNBR	C	Compound	Disease	(C) inhibits cell growth (esp. cancers)
GNBR::J::Compound:Disease	The compound plays a role in the pathogenesis of the disease	BioMedGPS::Causer::Compound:Disease	A compound is a cause or contributing factor to a specific disease.	Is the #Compound# a cause or contributing factor to #Disease#?	GNBR	J	Compound	Disease	(J) role in disease pathogenesis
GNBR::Mp::Compound:Disease	The compound is a biomarker of disease progression	BioMedGPS::Biomarker::Compound:Disease	"A compound serves as a biomarker for a specific disease, meaning its presence, concentration, or behavior is indicative of the disease."	"Does the #Compound# serve as a biomarker for #Disease#, indicating its presence, concentration, or behavior?"	GNBR	Mp	Compound	Disease	(Mp) biomarkers (of disease progression)
GNBR::Pa::Compound:Disease	The compound alleviates or reduces the disease	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	GNBR	Pa	Compound	Disease	"(Pa) alleviates, reduces"
GNBR::Pr::Compound:Disease	The compound prevents or suppresses the disease	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	GNBR	Pr	Compound	Disease	"(Pr) prevents, suppresses"
GNBR::Sa::Compound:Disease	The compound is associated with side effects or adverse events related to the disease	BioMedGPS::SideEffect::Compound:Disease	"A compound can cause a specific side effect when used, related to a disease or condition."	"Can the #Compound# cause a specific side effect when used, related to #Disease# or condition?"	GNBR	Sa	Compound	Disease	(Sa) side effect/adverse event
GNBR::T::Compound:Disease	"The compound is used for treatment or therapy, including investigatory purposes"	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	GNBR	T	Compound	Disease	(T) treatment/therapy (including investigatory)
Hetionet::CpD::Compound:Disease	The compound palliates the disease	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	Hetionet	CpD	Compound	Disease	Compound–palliates–Disease
Hetionet::CtD::Compound:Disease	The compound is used to treat the disease	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	Hetionet	CtD	Compound	Disease	Compound–treats–Disease
PrimeKG::contraindication::Compound:Disease	Compound is contraindicated for a disease	BioMedGPS::Contraindication::Compound:Disease	"A compound is contraindicated for a specific disease, meaning it should not be used due to potential harm or adverse effects."	"Is the #Compound# contraindicated for #Disease#, suggesting it should not be used due to potential harm or adverse effects?"	PrimeKG	contraindication	Compound	Disease	
PrimeKG::indication::Compound:Disease	Compound is indicated for a disease	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	PrimeKG	indication	Compound	Disease	
PrimeKG::off-label_use::Compound:Disease	Compound is used off-label for a disease	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	PrimeKG	off-label_use	Compound	Disease	
CTD::marker/mechanism::Compound:Disease	Compound is a marker or mechanism in a disease	BioMedGPS::Biomarker::Compound:Disease	"A compound serves as a biomarker for a specific disease, meaning its presence, concentration, or behavior is indicative of the disease."	"Does the #Compound# serve as a biomarker for #Disease#, indicating its presence, concentration, or behavior?"	CTD	marker/mechanism	Compound	Disease	
CTD::therapeutic::Compound:Disease	Compound has a therapeutic effect on a disease	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	CTD	therapeutic	Compound	Disease	
bioarx::DrugHumGen:Compound:Gene	Compound that affects the activity of a human gene	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	bioarx	#VALUE!	#VALUE!	Gene	
